Last position of orbit,   A
 -6.08721133e-04   0.00000000e+00   2.44325549e+00   1.00000000e+00 0.2032
-0.07988855  0.          3.52406461  1.         0.20319
  5.81299155e-04   0.00000000e+00   3.83975132e+00   1.00000000e+00 0.20318
 0.07985945  0.          2.75953876  1.         0.20317
 -5.53771974e-04   0.00000000e+00   2.44361230e+00   1.00000000e+00 0.20316
-0.07983013  0.          3.52322455  1.         0.20315
  5.25985277e-04   0.00000000e+00   3.83939429e+00   1.00000000e+00 0.20314
 0.0798007   0.          2.76038408  1.         0.20313
 -4.97975712e-04   0.00000000e+00   2.44397083e+00   1.00000000e+00 0.20312
-0.07977109  0.          3.52237449  1.         0.20311
  4.69852760e-04   0.00000000e+00   3.83903456e+00   1.00000000e+00 0.2031
 0.0797413   0.          2.76124015  1.         0.20309
 -4.41394077e-04   0.00000000e+00   2.44433141e+00   1.00000000e+00 0.20308
-0.07971137  0.          3.52151393  1.         0.20307
  4.12725914e-04   0.00000000e+00   3.83867251e+00   1.00000000e+00 0.20306
 0.07968128  0.          2.76210634  1.         0.20305
 -3.83819683e-04   0.00000000e+00   2.44469495e+00   1.00000000e+00 0.20304
-0.07965087  0.          3.5206395   1.         0.20303
  3.54559723e-04   0.00000000e+00   3.83830683e+00   1.00000000e+00 0.20302
 0.07962039  0.          2.76298633  1.         0.20301
 -3.25191591e-04   0.00000000e+00   2.44506193e+00   1.00000000e+00 0.203
-0.07958959  0.          3.51975264  1.         0.20299
  2.95415298e-04   0.00000000e+00   3.83793873e+00   1.00000000e+00 0.20298
 0.07955873  0.          2.76387972  1.         0.20297
 -2.65472549e-04   0.00000000e+00   2.44543143e+00   1.00000000e+00 0.20296
-0.07952755  0.          3.51885401  1.         0.20295
  2.35249077e-04   0.00000000e+00   3.83756742e+00   1.00000000e+00 0.20294
 0.07949624  0.          2.76478615  1.         0.20293
 -2.04627505e-04   0.00000000e+00   2.44580496e+00   1.00000000e+00 0.20292
-0.07946456  0.          3.51793834  1.         0.20291
  1.73806471e-04   0.00000000e+00   3.83719317e+00   1.00000000e+00 0.2029
 0.07943275  0.          2.7657101   1.         0.20289
 -1.42708338e-04   0.00000000e+00   2.44618072e+00   1.00000000e+00 0.20288
-0.07940068  0.          3.51700832  1.         0.20287
  1.11296186e-04   0.00000000e+00   3.83681504e+00   1.00000000e+00 0.20286
 0.07936845  0.          2.76664656  1.         0.20285
 -7.95179894e-05   0.00000000e+00   2.44656070e+00   1.00000000e+00 0.20284
-0.07933588  0.          3.51606369  1.         0.20283
  4.73856854e-05   0.00000000e+00   3.83643353e+00   1.00000000e+00 0.20282
 0.07930315  0.          2.76760011  1.         0.20281
 -1.49908370e-05   0.00000000e+00   2.44694338e+00   1.00000000e+00 0.2028
-0.07927002  0.          3.5151016   1.         0.20279
 -1.78017035e-05   0.00000000e+00   3.83604820e+00   1.00000000e+00 0.20278
 0.07923679  0.          2.76857114  1.         0.20277
  5.09028202e-05   0.00000000e+00   2.44733110e+00   1.00000000e+00 0.20276
-0.07920314  0.          3.5141206   1.         0.20275
 -8.44760853e-05   0.00000000e+00   3.83565874e+00   1.00000000e+00 0.20274
 0.07916931  0.          2.76956123  1.         0.20273
  1.18391014e-04   0.00000000e+00   2.44772316e+00   1.00000000e+00 0.20272
-0.07913513  0.          3.51312245  1.         0.20271
 -1.52680019e-04   0.00000000e+00   3.83526501e+00   1.00000000e+00 0.2027
 0.0791006   0.          2.77057111  1.         0.20269
  1.87437596e-04   0.00000000e+00   2.44811873e+00   1.00000000e+00 0.20268
-0.07906585  0.          3.5121021   1.         0.20267
 -2.22500935e-04   0.00000000e+00   3.83486654e+00   1.00000000e+00 0.20266
 0.07903076  0.          2.77160041  1.         0.20265
  2.58022531e-04   0.00000000e+00   2.44851930e+00   1.00000000e+00 0.20264
-0.0789953   0.          3.51106159  1.         0.20263
 -2.94025021e-04   0.00000000e+00   3.83446381e+00   1.00000000e+00 0.20262
 0.07895949  0.          2.77265307  1.         0.20261
  3.30550199e-04   0.00000000e+00   2.44892513e+00   1.00000000e+00 0.2026
-0.07892333  0.          3.50999703  1.         0.20259
 -3.67495926e-04   0.00000000e+00   3.83405518e+00   1.00000000e+00 0.20258
 0.07888684  0.          2.77372931  1.         0.20257
  4.05025571e-04   0.00000000e+00   2.44933645e+00   1.00000000e+00 0.20256
-0.07884985  0.          3.50890714  1.         0.20255
 -4.43119676e-04   0.00000000e+00   3.83364045e+00   1.00000000e+00 0.20254
 0.0788125   0.          2.77483294  1.         0.20253
  4.81648509e-04   0.00000000e+00   2.44975396e+00   1.00000000e+00 0.20252
-0.07877465  0.          3.5077891   1.         0.20251
 -5.20787215e-04   0.00000000e+00   3.83322011e+00   1.00000000e+00 0.2025
 0.07873657  0.          2.77596354  1.         0.20249
  5.60486553e-04   0.00000000e+00   2.45017781e+00   1.00000000e+00 0.20248
-0.0786979   0.          3.50664428  1.         0.20247
 -6.00826913e-04   0.00000000e+00   3.83279304e+00   1.00000000e+00 0.20246
 0.07865864  0.          2.77712846  1.         0.20245
  6.41825969e-04   0.00000000e+00   2.45060831e+00   1.00000000e+00 0.20244
-0.07861903  0.          3.50546463  1.         0.20243
 -6.83633446e-04   0.00000000e+00   3.83235896e+00   1.00000000e+00 0.20242
 0.07857882  0.          2.77832426  1.         0.20241
  7.26073423e-04   0.00000000e+00   2.45104639e+00   1.00000000e+00 0.2024
-0.07853805  0.          3.50424809  1.         0.20239
 -7.69230434e-04   0.00000000e+00   3.83191617e+00   1.00000000e+00 0.20238
 0.0784967   0.          2.77955914  1.         0.20237
  8.13257817e-04   0.00000000e+00   2.45149345e+00   1.00000000e+00 0.20236
-0.07845475  0.          3.50299483  1.         0.20235
 -8.58130460e-04   0.00000000e+00   3.83146479e+00   1.00000000e+00 0.20234
 0.07841217  0.          2.780834    1.         0.20233
  9.03869062e-04   0.00000000e+00   2.45194932e+00   1.00000000e+00 0.20232
-0.07836885  0.          3.50169598  1.         0.20231
 -9.50648782e-04   0.00000000e+00   3.83100368e+00   1.00000000e+00 0.2023
 0.07832472  0.          2.78215783  1.         0.20229
  9.98232354e-04   0.00000000e+00   2.45241691e+00   1.00000000e+00 0.20228
-0.07827995  0.          3.50034818  1.         0.20227
 -1.04705864e-03   0.00000000e+00   3.83053107e+00   1.00000000e+00 0.20226
 0.07823425  0.          2.78353251  1.         0.20225
  1.09714876e-03   0.00000000e+00   2.45289532e+00   1.00000000e+00 0.20224
-0.07818776  0.          3.49894374  1.         0.20223
 -1.14817597e-03   0.00000000e+00   3.83004565e+00   1.00000000e+00 0.20222
 0.07814023  0.          2.78496726  1.         0.20221
  1.20065715e-03   0.00000000e+00   2.45338757e+00   1.00000000e+00 0.2022
-0.07809171  0.          3.49747501  1.         0.20219
 -1.25456637e-03   0.00000000e+00   3.82954575e+00   1.00000000e+00 0.20218
 0.07804204  0.          2.78647205  1.         0.20217
  1.31002032e-03   0.00000000e+00   2.45389565e+00   1.00000000e+00 0.20216
-0.07799119  0.          3.49593154  1.         0.20215
 -1.36724228e-03   0.00000000e+00   3.82902856e+00   1.00000000e+00 0.20214
 0.07793908  0.          2.78805769  1.         0.20213
  1.42606519e-03   0.00000000e+00   2.45442204e+00   1.00000000e+00 0.20212
-0.07788541  0.          3.49429838  1.         0.20211
 -1.48716254e-03   0.00000000e+00   3.82849111e+00   1.00000000e+00 0.2021
 0.07783022  0.          2.78974255  1.         0.20209
  1.55032294e-03   0.00000000e+00   2.45497109e+00   1.00000000e+00 0.20208
-0.07777322  0.          3.49255736  1.         0.20207
 -1.61611739e-03   0.00000000e+00   3.82792916e+00   1.00000000e+00 0.20206
 0.07771424  0.          2.79154669  1.         0.20205
  1.68491765e-03   0.00000000e+00   2.45554874e+00   1.00000000e+00 0.20204
-0.07765299  0.          3.49068028  1.         0.20203
 -1.75654318e-03   0.00000000e+00   3.82733570e+00   1.00000000e+00 0.20202
 0.07758909  0.          2.79350691  1.         0.20201
  1.83198572e-03   0.00000000e+00   2.45616033e+00   1.00000000e+00 0.202
-0.07752221  0.          3.48862469  1.         0.20199
 -1.91182778e-03   0.00000000e+00   3.82670173e+00   1.00000000e+00 0.20198
 0.0774522   0.          2.79566558  1.         0.20197
  1.99671934e-03   0.00000000e+00   2.45682086e+00   1.00000000e+00 0.20196
-0.07737759  0.          3.48633593  1.         0.20195
 -2.08787244e-03   0.00000000e+00   3.82601054e+00   1.00000000e+00 0.20194
