eig1   eig2   A
(-0.658323320553+0.316399087753j) (-0.658323320553-0.316399087753j) 0.2
(-0.659725169082+0.313465593638j) (-0.659725169082-0.313465593638j) 0.2001
(-0.661127671148+0.310496665937j) (-0.661127671148-0.310496665937j) 0.2002
(-0.662530826679+0.307491269495j) (-0.662530826679-0.307491269495j) 0.2003
(-0.663934635605+0.304448315415j) (-0.663934635605-0.304448315415j) 0.2004
(-0.665339097856+0.301366657047j) (-0.665339097856-0.301366657047j) 0.2005
(-0.666744213361+0.298245085567j) (-0.666744213361-0.298245085567j) 0.2006
(-0.668149982049+0.295082325129j) (-0.668149982049-0.295082325129j) 0.2007
(-0.669556403849+0.291877027496j) (-0.669556403849-0.291877027496j) 0.2008
(-0.670963478692+0.288627766123j) (-0.670963478692-0.288627766123j) 0.2009
(-0.672371206505+0.285333029597j) (-0.672371206505-0.285333029597j) 0.201
(-0.673779587218+0.281991214338j) (-0.673779587218-0.281991214338j) 0.2011
(-0.67518862076+0.278600616494j) (-0.67518862076-0.278600616494j) 0.2012
(-0.676598307061+0.275159422876j) (-0.676598307061-0.275159422876j) 0.2013
(-0.678008646049+0.271665700812j) (-0.678008646049-0.271665700812j) 0.2014
(-0.679419637654+0.268117386765j) (-0.679419637654-0.268117386765j) 0.2015
(-0.680831281804+0.264512273502j) (-0.680831281804-0.264512273502j) 0.2016
(-0.682243578428+0.260847995601j) (-0.682243578428-0.260847995601j) 0.2017
(-0.683656527455+0.257122013027j) (-0.683656527455-0.257122013027j) 0.2018
(-0.685070128815+0.253331592425j) (-0.685070128815-0.253331592425j) 0.2019
(-0.686484382436+0.249473785771j) (-0.686484382436-0.249473785771j) 0.202
(-0.687899288247+0.245545405873j) (-0.687899288247-0.245545405873j) 0.2021
(-0.689314846176+0.241542998153j) (-0.689314846176-0.241542998153j) 0.2022
(-0.690731056153+0.237462807997j) (-0.690731056153-0.237462807997j) 0.2023
(-0.692147918105+0.233300742772j) (-0.692147918105-0.233300742772j) 0.2024
(-0.693565431963+0.229052327431j) (-0.693565431963-0.229052327431j) 0.2025
(-0.694983597654+0.224712652308j) (-0.694983597654-0.224712652308j) 0.2026
(-0.696402415107+0.220276311364j) (-0.696402415107-0.220276311364j) 0.2027
(-0.697821884251+0.215737328657j) (-0.697821884251-0.215737328657j) 0.2028
(-0.699242005014+0.211089070157j) (-0.699242005014-0.211089070157j) 0.2029
(-0.700662777325+0.20632413719j) (-0.700662777325-0.20632413719j) 0.203
(-0.702084201112+0.201434236576j) (-0.702084201112-0.201434236576j) 0.2031
(-0.703506276303+0.19641002092j) (-0.703506276303-0.19641002092j) 0.2032
(-0.704929002828+0.191240890209j) (-0.704929002828-0.191240890209j) 0.2033
(-0.706352380614+0.185914742603j) (-0.706352380614-0.185914742603j) 0.2034
(-0.707776409589+0.180417657518j) (-0.707776409589-0.180417657518j) 0.2035
(-0.709201089683+0.174733487082j) (-0.709201089683-0.174733487082j) 0.2036
(-0.710626420823+0.168843321288j) (-0.710626420823-0.168843321288j) 0.2037
(-0.712052402938+0.162724775575j) (-0.712052402938-0.162724775575j) 0.2038
(-0.713479035955+0.156351022919j) (-0.713479035955-0.156351022919j) 0.2039
(-0.714906319804+0.149689448593j) (-0.714906319804-0.149689448593j) 0.204
(-0.716334254411+0.142699730458j) (-0.716334254411-0.142699730458j) 0.2041
(-0.717762839706+0.135331012901j) (-0.717762839706-0.135331012901j) 0.2042
(-0.719192075616+0.127517588932j) (-0.719192075616-0.127517588932j) 0.2043
(-0.720621962069+0.119171997128j) (-0.720621962069-0.119171997128j) 0.2044
(-0.722052498993+0.110173344385j) (-0.722052498993-0.110173344385j) 0.2045
(-0.723483686317+0.100346064938j) (-0.723483686317-0.100346064938j) 0.2046
(-0.724915523968+0.0894173373898j) (-0.724915523968-0.0894173373898j) 0.2047
(-0.726348011874+0.0769190663136j) (-0.726348011874-0.0769190663136j) 0.2048
(-0.727781149963+0.0619077933277j) (-0.727781149963-0.0619077933277j) 0.2049
(-0.729214938162+0.0417558508094j) (-0.729214938162-0.0417558508094j) 0.205
(-0.711926819995+0j) (-0.749371932805+0j) 0.2051
(-0.682590159886+0j) (-0.781578769323+0j) 0.2052
(-0.66603753339+0j) (-0.801002872015+0j) 0.2053
(-0.653328084669+0j) (-0.816585096577+0j) 0.2054
(-0.642704788649+0j) (-0.830082467935+0j) 0.2055
(-0.633442268219+0j) (-0.842220363058+0j) 0.2056
(-0.625157242555+0j) (-0.853382062623+0j) 0.2057
(-0.617617977849+0j) (-0.863799300296+0j) 0.2058
(-0.610671718201+0j) (-0.873624831828+0j) 0.2059
(-0.604211482031+0j) (-0.882965638658+0j) 0.206
(-0.598158901312+0j) (-0.891900088665+0j) 0.2061
(-0.592454539242+0j) (-0.900487618506+0j) 0.2062
(-0.58705205169+0j) (-0.90877457217+0j) 0.2063
(-0.581914477377+0j) (-0.916797910787+0j) 0.2064
(-0.577011778807+0j) (-0.924587671708+0j) 0.2065
(-0.572319154244+0j) (-0.932168656526+0j) 0.2066
(-0.567815844405+0j) (-0.939561624377+0j) 0.2067
(-0.563484267453+0j) (-0.946784156951+0j) 0.2068
(-0.559309378233+0j) (-0.953851299259+0j) 0.2069
(-0.555278184562+0j) (-0.960776043339+0j) 0.207
(-0.551379375947+0j) (-0.967569699536+0j) 0.2071
(-0.547603034374+0j) (-0.97424218572+0j) 0.2072
(-0.543940406013+0j) (-0.980802255575+0j) 0.2073
(-0.540383718876+0j) (-0.987257680942+0j) 0.2074
(-0.536926035599+0j) (-0.993615399038+0j) 0.2075
(-0.533561133427+0j) (-0.999881632475+0j) 0.2076
(-0.530283405488+0j) (-1.00606198798+0j) 0.2077
(-0.527087778936+0j) (-1.01216153824+0j) 0.2078
(-0.523969646547+0j) (-1.01818489035+0j) 0.2079
(-0.520924809187+0j) (-1.02413624329+0j) 0.208
(-0.517949427087+0j) (-1.03001943668+0j) 0.2081
(-0.515039978355+0j) (-1.03583799227+0j) 0.2082
