eig1   eig2   A
(0.100468976393+0j) (0.806223960659+0j) 0.26807
(0.100787381228+0j) (0.803676959195+0j) 0.26808
(0.103447771128+0j) (0.783008615731+0j) 0.26809
(0.753204886316+0j) (0.107541118681+0j) 0.2681
(0.110251084369+0j) (0.734691150976+0j) 0.26811
(0.113990821006+0j) (0.710587882037+0j) 0.26812
(0.116792272564+0j) (0.693543282381+0j) 0.26813
(0.664089720821+0j) (0.121972217806+0j) 0.26814
(0.125960062241+0j) (0.643064909863+0j) 0.26815
(0.131388679028+0j) (0.616495246546+0j) 0.26816
(0.135151054495+0j) (0.599333067535+0j) 0.26817
(0.567305350868+0j) (0.142781124744+0j) 0.26818
(0.149041062815+0j) (0.543477713735+0j) 0.26819
(0.157490397815+0j) (0.514320220114+0j) 0.2682
(0.163732560407+0j) (0.4947122055+0j) 0.26821
(0.453975924779+0j) (0.178424651285+0j) 0.26822
(0.190002764399+0j) (0.426312197759+0j) 0.26823
(0.210496424237+0j) (0.384806993106+0j) 0.26824
(0.230192028463+0j) (0.351882281119+0j) 0.26825
(0.27853537087+0.0584683097449j) (0.27853537087-0.0584683097449j) 0.26826
(0.269731801531+0.0908033662053j) (0.269731801531-0.0908033662053j) 0.26827
(0.259370899971+0.117163272055j) (0.259370899971-0.117163272055j) 0.26828
(0.252548928202+0.131223225594j) (0.252548928202-0.131223225594j) 0.26829
(0.239997416993+0.152976259292j) (0.239997416993-0.152976259292j) 0.2683
(0.231195693156+0.165979057526j) (0.231195693156-0.165979057526j) 0.26831
(0.220959634792+0.179380422184j) (0.220959634792-0.179380422184j) 0.26832
(0.214008303952+0.187619140576j) (0.214008303952-0.187619140576j) 0.26833
(0.201355731872+0.201137677507j) (0.201355731872-0.201137677507j) 0.26834
(0.192667990605+0.209474441084j) (0.192667990605-0.209474441084j) 0.26835
(0.182148773325+0.218683150806j) (0.182148773325-0.218683150806j) 0.26836
(0.175433113065+0.224106490114j) (0.175433113065-0.224106490114j) 0.26837
(0.162796918388+0.233447337603j) (0.162796918388-0.233447337603j) 0.26838
(0.153495279394+0.239665799135j) (0.153495279394-0.239665799135j) 0.26839
(0.143418197101+0.245828633017j) (0.143418197101-0.245828633017j) 0.2684
(0.136613348293+0.249674366203j) (0.136613348293-0.249674366203j) 0.26841
(0.123946349949+0.25619874786j) (0.123946349949-0.25619874786j) 0.26842
(0.114741098813+0.260451485529j) (0.114741098813-0.260451485529j) 0.26843
(0.104301614842+0.264804964477j) (0.104301614842-0.264804964477j) 0.26844
(0.0978096243379+0.267270973841j) (0.0978096243379-0.267270973841j) 0.26845
(0.0847253308776+0.271702253171j) (0.0847253308776-0.271702253171j) 0.26846
