eig1   eig2   A
(-0.173493685156+0.504527993491j) (-0.173493685156-0.504527993491j) 0.2032
(-0.192633671085+0.497534746293j) (-0.192633671085-0.497534746293j) 0.2031
(-0.212309670331+0.489462111801j) (-0.212309670331-0.489462111801j) 0.203
(-0.232519075452+0.480191039645j) (-0.232519075452-0.480191039645j) 0.2029
(-0.253326371439+0.469546914097j) (-0.253326371439-0.469546914097j) 0.2028
(-0.274811104563+0.457304506662j) (-0.274811104563-0.457304506662j) 0.2027
(-0.29722426281+0.443064659617j) (-0.29722426281-0.443064659617j) 0.2026
(-0.320837498714+0.426276734556j) (-0.320837498714-0.426276734556j) 0.2025
(-0.346102548578+0.406031502315j) (-0.346102548578-0.406031502315j) 0.2024
(-0.373650053305+0.380833549822j) (-0.373650053305-0.380833549822j) 0.2023
(-0.404365017517+0.348048111061j) (-0.404365017517-0.348048111061j) 0.2022
(-0.439472666406+0.302510050225j) (-0.439472666406-0.302510050225j) 0.2021
(-0.480627278026+0.231616006834j) (-0.480627278026-0.231616006834j) 0.202
(-0.530042334754+0.0608578538362j) (-0.530042334754-0.0608578538362j) 0.2019
(-0.843824569598+0j) (-0.337331437434+0j) 0.2018
(-1.0643147277+0j) (-0.267447727251+0j) 0.2017
(-1.30138449544+0j) (-0.218727482925+0j) 0.2016
(-1.57360299662+0j) (-0.180889687942+0j) 0.2015
(-1.88879843182+0j) (-0.150703510872+0j) 0.2014
(-2.24093141663+0j) (-0.127022430447+0j) 0.2013
(-2.59569014847+0j) (-0.109661993043+0j) 0.2012
(-2.86618382702+0j) (-0.0993127350454+0j) 0.2011
(-2.8926214334+0j) (-0.0984050493844+0j) 0.201
(-2.49175759792+0j) (-0.114236053797+0j) 0.2009
(-1.67076559902+0j) (-0.170370131616+0j) 0.2008
(-0.723698749903+0j) (-0.393324646536+0j) 0.2007
(-0.400305228991+0.352709907213j) (-0.400305228991-0.352709907213j) 0.2006
(-0.392391765939+0.361493094025j) (-0.392391765939-0.361493094025j) 0.2005
(-0.414322929443+0.336132511286j) (-0.414322929443-0.336132511286j) 0.2004
(-0.376188800127+0.378325972761j) (-0.376188800127-0.378325972761j) 0.2003
(-0.247327512194+0.472734234766j) (-0.247327512194-0.472734234766j) 0.2002
(-0.0694727163352+0.52898213268j) (-0.0694727163352-0.52898213268j) 0.2001
(0.0893417144749+0.525991076982j) (0.0893417144749-0.525991076982j) 0.2
