eig1   eig2   A
(-0.658323320553+0.316399087753j) (-0.658323320553-0.316399087753j) 0.2
(-0.658463475995+0.316107304401j) (-0.658463475995-0.316107304401j) 0.20001
(-0.658603637973+0.31581517564j) (-0.658603637973-0.31581517564j) 0.20002
(-0.658743806486+0.315522700501j) (-0.658743806486-0.315522700501j) 0.20003
(-0.658883981536+0.315229878011j) (-0.658883981536-0.315229878011j) 0.20004
(-0.659024163121+0.314936707193j) (-0.659024163121-0.314936707193j) 0.20005
(-0.659164351242+0.314643187065j) (-0.659164351242-0.314643187065j) 0.20006
(-0.659304545899+0.31434931664j) (-0.659304545899-0.31434931664j) 0.20007
(-0.659444747091+0.314055094926j) (-0.659444747091-0.314055094926j) 0.20008
(-0.659584954819+0.313760520926j) (-0.659584954819-0.313760520926j) 0.20009
(-0.659725169082+0.313465593638j) (-0.659725169082-0.313465593638j) 0.2001
(-0.659865389881+0.313170312055j) (-0.659865389881-0.313170312055j) 0.20011
(-0.660005617215+0.312874675166j) (-0.660005617215-0.312874675166j) 0.20012
(-0.660145851084+0.312578681954j) (-0.660145851084-0.312578681954j) 0.20013
(-0.660286091488+0.312282331397j) (-0.660286091488-0.312282331397j) 0.20014
(-0.660426338427+0.311985622468j) (-0.660426338427-0.311985622468j) 0.20015
(-0.660566591902+0.311688554135j) (-0.660566591902-0.311688554135j) 0.20016
(-0.660706851911+0.311391125361j) (-0.660706851911-0.311391125361j) 0.20017
(-0.660847118455+0.311093335102j) (-0.660847118455-0.311093335102j) 0.20018
(-0.660987391534+0.310795182312j) (-0.660987391534-0.310795182312j) 0.20019
(-0.661127671148+0.310496665937j) (-0.661127671148-0.310496665937j) 0.2002
(-0.661267957296+0.31019778492j) (-0.661267957296-0.31019778492j) 0.20021
(-0.661408249979+0.309898538195j) (-0.661408249979-0.309898538195j) 0.20022
(-0.661548549196+0.309598924694j) (-0.661548549196-0.309598924694j) 0.20023
(-0.661688854948+0.309298943342j) (-0.661688854948-0.309298943342j) 0.20024
(-0.661829167234+0.30899859306j) (-0.661829167234-0.30899859306j) 0.20025
(-0.661969486055+0.308697872762j) (-0.661969486055-0.308697872762j) 0.20026
(-0.66210981141+0.308396781355j) (-0.66210981141-0.308396781355j) 0.20027
(-0.662250143299+0.308095317745j) (-0.662250143299-0.308095317745j) 0.20028
(-0.662390481722+0.307793480827j) (-0.662390481722-0.307793480827j) 0.20029
(-0.662530826679+0.307491269495j) (-0.662530826679-0.307491269495j) 0.2003
(-0.66267117817+0.307188682634j) (-0.66267117817-0.307188682634j) 0.20031
(-0.662811536195+0.306885719124j) (-0.662811536195-0.306885719124j) 0.20032
(-0.662951900753+0.306582377841j) (-0.662951900753-0.306582377841j) 0.20033
(-0.663092271846+0.306278657653j) (-0.663092271846-0.306278657653j) 0.20034
(-0.663232649472+0.305974557422j) (-0.663232649472-0.305974557422j) 0.20035
(-0.663373033632+0.305670076006j) (-0.663373033632-0.305670076006j) 0.20036
(-0.663513424325+0.305365212256j) (-0.663513424325-0.305365212256j) 0.20037
(-0.663653821552+0.305059965015j) (-0.663653821552-0.305059965015j) 0.20038
(-0.663794225312+0.304754333124j) (-0.663794225312-0.304754333124j) 0.20039
(-0.663934635605+0.304448315415j) (-0.663934635605-0.304448315415j) 0.2004
(-0.664075052432+0.304141910714j) (-0.664075052432-0.304141910714j) 0.20041
(-0.664215475792+0.303835117842j) (-0.664215475792-0.303835117842j) 0.20042
(-0.664355905685+0.303527935613j) (-0.664355905685-0.303527935613j) 0.20043
(-0.66449634211+0.303220362834j) (-0.66449634211-0.303220362834j) 0.20044
(-0.664636785069+0.302912398307j) (-0.664636785069-0.302912398307j) 0.20045
(-0.664777234561+0.302604040826j) (-0.664777234561-0.302604040826j) 0.20046
(-0.664917690586+0.302295289181j) (-0.664917690586-0.302295289181j) 0.20047
(-0.665058153143+0.301986142154j) (-0.665058153143-0.301986142154j) 0.20048
(-0.665198622233+0.301676598519j) (-0.665198622233-0.301676598519j) 0.20049
(-0.665339097856+0.301366657047j) (-0.665339097856-0.301366657047j) 0.2005
(-0.665479580011+0.301056316498j) (-0.665479580011-0.301056316498j) 0.20051
(-0.665620068699+0.300745575629j) (-0.665620068699-0.300745575629j) 0.20052
(-0.665760563919+0.300434433189j) (-0.665760563919-0.300434433189j) 0.20053
(-0.665901065671+0.300122887919j) (-0.665901065671-0.300122887919j) 0.20054
(-0.666041573956+0.299810938555j) (-0.666041573956-0.299810938555j) 0.20055
(-0.666182088773+0.299498583825j) (-0.666182088773-0.299498583825j) 0.20056
(-0.666322610122+0.299185822451j) (-0.666322610122-0.299185822451j) 0.20057
(-0.666463138003+0.298872653146j) (-0.666463138003-0.298872653146j) 0.20058
(-0.666603672416+0.298559074618j) (-0.666603672416-0.298559074618j) 0.20059
(-0.666744213361+0.298245085567j) (-0.666744213361-0.298245085567j) 0.2006
(-0.666884760838+0.297930684687j) (-0.666884760838-0.297930684687j) 0.20061
(-0.667025314846+0.297615870662j) (-0.667025314846-0.297615870662j) 0.20062
(-0.667165875386+0.297300642171j) (-0.667165875386-0.297300642171j) 0.20063
(-0.667306442458+0.296984997886j) (-0.667306442458-0.296984997886j) 0.20064
(-0.667447016061+0.29666893647j) (-0.667447016061-0.29666893647j) 0.20065
(-0.667587596196+0.296352456579j) (-0.667587596196-0.296352456579j) 0.20066
(-0.667728182862+0.296035556862j) (-0.667728182862-0.296035556862j) 0.20067
(-0.66786877606+0.29571823596j) (-0.66786877606-0.29571823596j) 0.20068
(-0.668009375789+0.295400492507j) (-0.668009375789-0.295400492507j) 0.20069
(-0.668149982049+0.295082325129j) (-0.668149982049-0.295082325129j) 0.2007
(-0.66829059484+0.294763732443j) (-0.66829059484-0.294763732443j) 0.20071
(-0.668431214162+0.29444471306j) (-0.668431214162-0.29444471306j) 0.20072
(-0.668571840015+0.294125265582j) (-0.668571840015-0.294125265582j) 0.20073
(-0.6687124724+0.293805388604j) (-0.6687124724-0.293805388604j) 0.20074
(-0.668853111314+0.293485080712j) (-0.668853111314-0.293485080712j) 0.20075
(-0.66899375676+0.293164340484j) (-0.66899375676-0.293164340484j) 0.20076
(-0.669134408737+0.29284316649j) (-0.669134408737-0.29284316649j) 0.20077
(-0.669275067244+0.292521557293j) (-0.669275067244-0.292521557293j) 0.20078
(-0.669415732281+0.292199511447j) (-0.669415732281-0.292199511447j) 0.20079
(-0.669556403849+0.291877027495j) (-0.669556403849-0.291877027495j) 0.2008
(-0.669697081948+0.291554103977j) (-0.669697081948-0.291554103977j) 0.20081
(-0.669837766577+0.291230739419j) (-0.669837766577-0.291230739419j) 0.20082
(-0.669978457736+0.290906932343j) (-0.669978457736-0.290906932343j) 0.20083
(-0.670119155425+0.290582681259j) (-0.670119155425-0.290582681259j) 0.20084
(-0.670259859645+0.290257984669j) (-0.670259859645-0.290257984669j) 0.20085
(-0.670400570394+0.289932841069j) (-0.670400570394-0.289932841069j) 0.20086
(-0.670541287674+0.289607248943j) (-0.670541287674-0.289607248943j) 0.20087
(-0.670682011483+0.289281206766j) (-0.670682011483-0.289281206766j) 0.20088
(-0.670822741823+0.288954713007j) (-0.670822741823-0.288954713007j) 0.20089
(-0.670963478692+0.288627766123j) (-0.670963478692-0.288627766123j) 0.2009
(-0.67110422209+0.288300364564j) (-0.67110422209-0.288300364564j) 0.20091
(-0.671244972019+0.287972506769j) (-0.671244972019-0.287972506769j) 0.20092
(-0.671385728477+0.287644191169j) (-0.671385728477-0.287644191169j) 0.20093
(-0.671526491464+0.287315416184j) (-0.671526491464-0.287315416184j) 0.20094
(-0.671667260981+0.286986180227j) (-0.671667260981-0.286986180227j) 0.20095
(-0.671808037028+0.2866564817j) (-0.671808037028-0.2866564817j) 0.20096
(-0.671948819603+0.286326318995j) (-0.671948819603-0.286326318995j) 0.20097
(-0.672089608708+0.285995690496j) (-0.672089608708-0.285995690496j) 0.20098
(-0.672230404342+0.285664594575j) (-0.672230404342-0.285664594575j) 0.20099
(-0.672371206505+0.285333029596j) (-0.672371206505-0.285333029596j) 0.201
(-0.672512015197+0.285000993913j) (-0.672512015197-0.285000993913j) 0.20101
(-0.672652830418+0.284668485868j) (-0.672652830418-0.284668485868j) 0.20102
(-0.672793652167+0.284335503795j) (-0.672793652167-0.284335503795j) 0.20103
(-0.672934480446+0.284002046018j) (-0.672934480446-0.284002046018j) 0.20104
(-0.673075315253+0.283668110848j) (-0.673075315253-0.283668110848j) 0.20105
(-0.673216156589+0.283333696589j) (-0.673216156589-0.283333696589j) 0.20106
(-0.673357004454+0.282998801532j) (-0.673357004454-0.282998801532j) 0.20107
(-0.673497858847+0.282663423959j) (-0.673497858847-0.282663423959j) 0.20108
(-0.673638719768+0.282327562141j) (-0.673638719768-0.282327562141j) 0.20109
(-0.673779587218+0.281991214338j) (-0.673779587218-0.281991214338j) 0.2011
(-0.673920461196+0.281654378799j) (-0.673920461196-0.281654378799j) 0.20111
(-0.674061341702+0.281317053763j) (-0.674061341702-0.281317053763j) 0.20112
(-0.674202228737+0.280979237457j) (-0.674202228737-0.280979237457j) 0.20113
(-0.674343122299+0.280640928097j) (-0.674343122299-0.280640928097j) 0.20114
(-0.67448402239+0.280302123888j) (-0.67448402239-0.280302123888j) 0.20115
(-0.674624929008+0.279962823024j) (-0.674624929008-0.279962823024j) 0.20116
(-0.674765842155+0.279623023688j) (-0.674765842155-0.279623023688j) 0.20117
(-0.674906761829+0.27928272405j) (-0.674906761829-0.27928272405j) 0.20118
(-0.675047688031+0.27894192227j) (-0.675047688031-0.27894192227j) 0.20119
(-0.67518862076+0.278600616494j) (-0.67518862076-0.278600616494j) 0.2012
(-0.675329560017+0.27825880486j) (-0.675329560017-0.27825880486j) 0.20121
(-0.675470505802+0.277916485489j) (-0.675470505802-0.277916485489j) 0.20122
(-0.675611458114+0.277573656495j) (-0.675611458114-0.277573656495j) 0.20123
(-0.675752416954+0.277230315977j) (-0.675752416954-0.277230315977j) 0.20124
(-0.67589338232+0.276886462022j) (-0.67589338232-0.276886462022j) 0.20125
(-0.676034354214+0.276542092704j) (-0.676034354214-0.276542092704j) 0.20126
