eig1   eig2   A
(0.261245895604+0.465156611906j) (0.261245895604-0.465156611906j) 0.256
(0.261969242102+0.464749618356j) (0.261969242102-0.464749618356j) 0.25601
(0.262693528104+0.464340609749j) (0.262693528104-0.464340609749j) 0.25602
(0.263417539437+0.463930265759j) (0.263417539437-0.463930265759j) 0.25603
(0.264141653943+0.463518368808j) (0.264141653943-0.463518368808j) 0.25604
(0.264864248883+0.463105842366j) (0.264864248883-0.463105842366j) 0.25605
(0.265589267844+0.462690428231j) (0.265589267844-0.462690428231j) 0.25606
(0.266314823921+0.462273194259j) (0.266314823921-0.462273194259j) 0.25607
(0.26704005485+0.461854631541j) (0.26704005485-0.461854631541j) 0.25608
(0.267765714077+0.461434300778j) (0.267765714077-0.461434300778j) 0.25609
(0.268492177995+0.461011975902j) (0.268492177995-0.461011975902j) 0.2561
(0.269218689297+0.460588090275j) (0.269218689297-0.460588090275j) 0.25611
(0.269945527632+0.460162475308j) (0.269945527632-0.460162475308j) 0.25612
(0.270672739446+0.459735097301j) (0.270672739446-0.459735097301j) 0.25613
(0.271400329994+0.459305946455j) (0.271400329994-0.459305946455j) 0.25614
(0.272128201266+0.458875074117j) (0.272128201266-0.458875074117j) 0.25615
(0.272856414502+0.458442437646j) (0.272856414502-0.458442437646j) 0.25616
(0.27358514965+0.458007922924j) (0.27358514965-0.458007922924j) 0.25617
(0.27431377177+0.457571902751j) (0.27431377177-0.457571902751j) 0.25618
(0.275042919003+0.457133989413j) (0.275042919003-0.457133989413j) 0.25619
(0.275772392324+0.456694295128j) (0.275772392324-0.456694295128j) 0.2562
(0.276502616157+0.456252555969j) (0.276502616157-0.456252555969j) 0.25621
(0.277232661825+0.455809327228j) (0.277232661825-0.455809327228j) 0.25622
(0.277963128852+0.455364239449j) (0.277963128852-0.455364239449j) 0.25623
(0.278694258665+0.454917137243j) (0.278694258665-0.454917137243j) 0.25624
(0.279425453568+0.454468378953j) (0.279425453568-0.454468378953j) 0.25625
(0.280156439327+0.454018128574j) (0.280156439327-0.454018128574j) 0.25626
