eig1   eig2   A
(0.789421778462+0j) (0.360542487348+0j) 0.05
(0.787432221838+0j) (0.361453447903+0j) 0.0502
(0.785426133959+0j) (0.362376650416+0j) 0.0504
(0.783403230852+0j) (0.363312379072+0j) 0.0506
(0.781363217493+0j) (0.364260929106+0j) 0.0508
(0.779305787201+0j) (0.365222607413+0j) 0.051
(0.777230620991+0j) (0.366197733191+0j) 0.0512
(0.775137386874+0j) (0.367186638644+0j) 0.0514
(0.773025739111+0j) (0.368189669727+0j) 0.0516
(0.770895317405+0j) (0.369207186952+0j) 0.0518
(0.768745746037+0j) (0.370239566255+0j) 0.052
(0.766576632934+0j) (0.37128719993+0j) 0.0522
(0.764387568654+0j) (0.372350497634+0j) 0.0524
(0.762178125304+0j) (0.373429887482+0j) 0.0526
(0.759947855355+0j) (0.374525817223+0j) 0.0528
(0.757696290368+0j) (0.375638755517+0j) 0.053
(0.755422939605+0j) (0.376769193324+0j) 0.0532
(0.753127288523+0j) (0.377917645412+0j) 0.0534
(0.75080879713+0j) (0.379084651994+0j) 0.0536
(0.748466898198+0j) (0.380270780523+0j) 0.0538
(0.746100995308+0j) (0.381476627647+0j) 0.054
(0.743710460706+0j) (0.382702821342+0j) 0.0542
(0.741294632963+0j) (0.383950023267+0j) 0.0544
(0.738852814394+0j) (0.385218931334+0j) 0.0546
(0.736384268226+0j) (0.386510282545+0j) 0.0548
(0.733888215466+0j) (0.387824856123+0j) 0.055
(0.731363831446+0j) (0.389163476968+0j) 0.0552
(0.72881024199+0j) (0.390527019484+0j) 0.0554
(0.726226519165+0j) (0.39191641184+0j) 0.0556
(0.723611676536+0j) (0.393332640701+0j) 0.0558
(0.720964663887+0j) (0.394776756519+0j) 0.056
(0.718284361296+0j) (0.396249879449+0j) 0.0562
(0.715569572495+0j) (0.397753205997+0j) 0.0564
(0.712819017383+0j) (0.3992880165+0j) 0.0566
(0.710031323573+0j) (0.40085568358+0j) 0.0568
(0.707205016812+0j) (0.40245768173+0j) 0.057
(0.704338510075+0j) (0.404095598214+0j) 0.0572
(0.701430091112+0j) (0.405771145522+0j) 0.0574
(0.69847790817+0j) (0.407486175647+0j) 0.0576
(0.695479953547+0j) (0.409242696533+0j) 0.0578
(0.692434044564+0j) (0.411042891101+0j) 0.058
(0.689337801443+0j) (0.412889139371+0j) 0.0582
(0.686188621451+0j) (0.414784044323+0j) 0.0584
(0.682983648502+0j) (0.416730462286+0j) 0.0586
(0.679719737223+0j) (0.41873153888+0j) 0.0588
(0.676393410166+0j) (0.420790751797+0j) 0.059
(0.673000806537+0j) (0.42291196208+0j) 0.0592
(0.669537620247+0j) (0.425099476067+0j) 0.0594
(0.665999024468+0j) (0.427358120835+0j) 0.0596
(0.662379578894+0j) (0.429693336937+0j) 0.0598
(0.658673114618+0j) (0.432111293535+0j) 0.06
(0.65487258961+0j) (0.434619032908+0j) 0.0602
(0.650969905095+0j) (0.437224654084+0j) 0.0604
(0.646955669044+0j) (0.439937549345+0j) 0.0606
(0.64281888687+0j) (0.442768713533+0j) 0.0608
(0.638546549907+0j) (0.445731155568+0j) 0.061
(0.634123077071+0j) (0.448840456791+0j) 0.0612
(0.629529540069+0j) (0.45211554575+0j) 0.0614
(0.624742559792+0j) (0.455579801813+0j) 0.0616
(0.619732685246+0j) (0.459262676232+0j) 0.0618
(0.614461923355+0j) (0.463202162341+0j) 0.062
(0.608879802904+0j) (0.467448731617+0j) 0.0622
(0.602916744166+0j) (0.472071964046+0j) 0.0624
(0.596472064431+0j) (0.4771725426+0j) 0.0626
(0.589390113228+0j) (0.482906118014+0j) 0.0628
(0.581405948907+0j) (0.4895376322+0j) 0.063
(0.57199295982+0j) (0.497593697069+0j) 0.0632
(0.559731397672+0j) (0.508494061184+0j) 0.0634
(0.533429993636+0.00851665801837j) (0.533429993636-0.00851665801837j) 0.0636
(0.532745121202+0.0283324444685j) (0.532745121202-0.0283324444685j) 0.0638
(0.53205811226+0.0391695896373j) (0.53205811226-0.0391695896373j) 0.064
(0.531368966945+0.0476142052621j) (0.531368966945-0.0476142052621j) 0.0642
(0.530677685389+0.0547839922261j) (0.530677685389-0.0547839922261j) 0.0644
(0.52998426773+0.0611291054507j) (0.52998426773-0.0611291054507j) 0.0646
(0.529288714102+0.0668845923887j) (0.529288714102-0.0668845923887j) 0.0648
(0.528591024641+0.0721915524412j) (0.528591024641-0.0721915524412j) 0.065
(0.527891199483+0.0771425504052j) (0.527891199483-0.0771425504052j) 0.0652
(0.527189238765+0.0818021888743j) (0.527189238765-0.0818021888743j) 0.0654
(0.526485142625+0.0862176673878j) (0.526485142625-0.0862176673878j) 0.0656
(0.525778911199+0.0904247096352j) (0.525778911199-0.0904247096352j) 0.0658
(0.525070544627+0.0944511235516j) (0.525070544627-0.0944511235516j) 0.066
(0.524360043045+0.0983190563038j) (0.524360043045-0.0983190563038j) 0.0662
(0.523647406594+0.102046485205j) (0.523647406594-0.102046485205j) 0.0664
(0.522932635411+0.105648238966j) (0.522932635411-0.105648238966j) 0.0666
(0.522215729638+0.109136718356j) (0.522215729638-0.109136718356j) 0.0668
(0.521496689413+0.112522417791j) (0.521496689413-0.112522417791j) 0.067
(0.520775514879+0.115814311196j) (0.520775514879-0.115814311196j) 0.0672
(0.520052206174+0.119020142952j) (0.520052206174-0.119020142952j) 0.0674
(0.519326763441+0.122146650991j) (0.519326763441-0.122146650991j) 0.0676
(0.518599186822+0.125199740424j) (0.518599186822-0.125199740424j) 0.0678
(0.517869476459+0.128184620478j) (0.517869476459-0.128184620478j) 0.068
(0.517137632494+0.131105913802j) (0.517137632494-0.131105913802j) 0.0682
(0.51640365507+0.133967744646j) (0.51640365507-0.133967744646j) 0.0684
(0.515667544331+0.136773810721j) (0.515667544331-0.136773810721j) 0.0686
(0.51492930042+0.139527442261j) (0.51492930042-0.139527442261j) 0.0688
(0.514188923482+0.142231650989j) (0.514188923482-0.142231650989j) 0.069
(0.513446413662+0.144889170997j) (0.513446413662-0.144889170997j) 0.0692
(0.512701771105+0.147502493134j) (0.512701771105-0.147502493134j) 0.0694
(0.511954995956+0.150073894101j) (0.511954995956-0.150073894101j) 0.0696
(0.511206088361+0.152605461231j) (0.511206088361-0.152605461231j) 0.0698
(0.510455048467+0.155099113698j) (0.510455048467-0.155099113698j) 0.07
(0.50970187642+0.157556620772j) (0.50970187642-0.157556620772j) 0.0702
(0.508946572367+0.159979617609j) (0.508946572367-0.159979617609j) 0.0704
(0.508189136457+0.162369618962j) (0.508189136457-0.162369618962j) 0.0706
(0.507429568837+0.164728031144j) (0.507429568837-0.164728031144j) 0.0708
(0.506667869656+0.167056162511j) (0.506667869656-0.167056162511j) 0.071
(0.505904039063+0.169355232677j) (0.505904039063-0.169355232677j) 0.0712
(0.505138077206+0.17162638064j) (0.505138077206-0.17162638064j) 0.0714
(0.504369984236+0.173870671985j) (0.504369984236-0.173870671985j) 0.0716
(0.503599760303+0.176089105278j) (0.503599760303-0.176089105278j) 0.0718
(0.502827405558+0.178282617759j) (0.502827405558-0.178282617759j) 0.072
(0.502052920151+0.180452090438j) (0.502052920151-0.180452090438j) 0.0722
(0.501276304233+0.182598352647j) (0.501276304233-0.182598352647j) 0.0724
(0.500497557958+0.184722186144j) (0.500497557958-0.184722186144j) 0.0726
(0.499716681476+0.186824328796j) (0.499716681476-0.186824328796j) 0.0728
(0.498933674941+0.188905477913j) (0.498933674941-0.188905477913j) 0.073
(0.498148538505+0.190966293258j) (0.498148538505-0.190966293258j) 0.0732
(0.497361272322+0.193007399778j) (0.497361272322-0.193007399778j) 0.0734
(0.496571876547+0.195029390087j) (0.496571876547-0.195029390087j) 0.0736
(0.495780351333+0.197032826725j) (0.495780351333-0.197032826725j) 0.0738
(0.494986696835+0.199018244217j) (0.494986696835-0.199018244217j) 0.074
(0.494190913209+0.200986150958j) (0.494190913209-0.200986150958j) 0.0742
(0.49339300061+0.202937030935j) (0.49339300061-0.202937030935j) 0.0744
(0.492592959193+0.204871345309j) (0.492592959193-0.204871345309j) 0.0746
(0.491790789116+0.206789533864j) (0.491790789116-0.206789533864j) 0.0748
(0.490986490536+0.208692016346j) (0.490986490536-0.208692016346j) 0.075
(0.490180063609+0.210579193692j) (0.490180063609-0.210579193692j) 0.0752
(0.489371508493+0.212451449161j) (0.489371508493-0.212451449161j) 0.0754
(0.488560825347+0.214309149389j) (0.488560825347-0.214309149389j) 0.0756
(0.487748014329+0.216152645354j) (0.487748014329-0.216152645354j) 0.0758
(0.486933075598+0.217982273281j) (0.486933075598-0.217982273281j) 0.076
(0.486116009313+0.219798355466j) (0.486116009313-0.219798355466j) 0.0762
(0.485296815634+0.22160120106j) (0.485296815634-0.22160120106j) 0.0764
(0.484475494721+0.223391106784j) (0.484475494721-0.223391106784j) 0.0766
(0.483652046736+0.2251683576j) (0.483652046736-0.2251683576j) 0.0768
(0.482826471838+0.226933227334j) (0.482826471838-0.226933227334j) 0.077
(0.48199877019+0.228685979262j) (0.48199877019-0.228685979262j) 0.0772
(0.481168941953+0.230426866652j) (0.481168941953-0.230426866652j) 0.0774
(0.48033698729+0.232156133274j) (0.48033698729-0.232156133274j) 0.0776
(0.479502906364+0.233874013871j) (0.479502906364-0.233874013871j) 0.0778
(0.478666699337+0.235580734615j) (0.478666699337-0.235580734615j) 0.078
(0.477828366373+0.237276513513j) (0.477828366373-0.237276513513j) 0.0782
(0.476987907636+0.238961560809j) (0.476987907636-0.238961560809j) 0.0784
(0.476145323291+0.240636079347j) (0.476145323291-0.240636079347j) 0.0786
(0.475300613503+0.242300264919j) (0.475300613503-0.242300264919j) 0.0788
(0.474453778436+0.24395430659j) (0.474453778436-0.24395430659j) 0.079
